names,scores,distances,rect
RC001,"[18.676767, 16.001745, 27.942324, 31.399036, 32.249474, 14.511165, 16.2908]","[14.142135623730951, 66.70832032063167, 0.0, 38.07886552931954, 53.85164807134504, 39.05124837953327, 41.23105625617661]","[(314, 109, 54, 254), (682, 277, 97, 96), (617, 383, 230, 151), (892, 249, 135, 312), (359, 350, 123, 156), (340, 555, 170, 165), (512, 580, 308, 121)]"
RC002,"[31.39224, 15.473374, 14.706266, 12.124592, 34.534855, 16.031559, 20.162409]","[20.0, 40.0, 21.213203435596427, 46.09772228646444, 22.360679774997898, 14.142135623730951, 30.0]","[(324, 139, 54, 254), (742, 327, 87, 86), (607, 403, 240, 161), (892, 269, 246, 322), (369, 320, 123, 156), (370, 535, 150, 155), (502, 570, 308, 121)]"
RC003,"[43.514996, 43.239628, 61.91406, 39.803722, 33.855328, 21.865911, 29.576227]","[55.90169943749474, 41.23105625617661, 44.721359549995796, 10.0, 58.309518948453004, 44.721359549995796, 73.824115301167]","[(304, 69, 64, 254), (752, 327, 87, 86), (657, 403, 230, 151), (842, 229, 165, 302), (329, 270, 123, 156), (320, 545, 150, 155), (472, 480, 318, 131)]"
RC004,"[26.28351, 50.469296, 14.254239, 18.973063, 23.13844, 23.203241, 18.922895]","[22.360679774997898, 70.71067811865476, 10.0, 47.16990566028302, 40.311288741492746, 31.622776601683793, 14.142135623730951]","[(304, 109, 54, 254), (792, 337, 87, 86), (617, 393, 230, 151), (902, 259, 169, 312), (359, 310, 163, 186), (370, 555, 150, 155), (512, 550, 308, 121)]"
RC009,"[41.785194, 39.193165, 50.665314, 15.714315, 34.92282, 41.153072, 19.49157]","[50.99019513592785, 41.23105625617661, 55.90169943749474, 26.92582403567252, 31.622776601683793, 44.721359549995796, 70.71067811865476]","[(314, 69, 54, 254), (762, 257, 107, 106), (647, 333, 240, 151), (882, 229, 203, 322), (349, 310, 123, 156), (350, 575, 170, 175), (452, 590, 308, 121)]"
RC011,"[23.381096, 16.725868, 75.96251, 9.510813, 21.764194, 14.094751, 15.196312]","[35.35533905932738, 53.150729063673246, 50.99019513592785, 30.0, 33.54101966249684, 22.360679774997898, 22.360679774997898]","[(304, 149, 64, 264), (722, 257, 117, 106), (667, 393, 230, 151), (882, 229, 195, 302), (369, 280, 133, 176), (370, 545, 150, 155), (522, 550, 308, 121)]"
RC012,"[23.019707, 43.19645, 15.135114, 26.677387, 33.019985, 32.957256, 20.607779]","[87.32124598286491, 28.284271247461902, 18.027756377319946, 33.54101966249684, 60.41522986797286, 47.16990566028302, 33.54101966249684]","[(264, 119, 104, 294), (762, 267, 87, 86), (627, 373, 230, 161), (842, 199, 251, 302), (329, 280, 133, 166), (340, 485, 160, 155), (522, 580, 318, 141)]"
RC013,"[29.31526, 16.868366, 16.494936, 12.449749, 22.043543, 19.838095, 15.746476]","[31.622776601683793, 36.05551275463989, 22.360679774997898, 41.23105625617661, 10.0, 22.360679774997898, 15.811388300841896]","[(304, 119, 74, 274), (772, 267, 87, 86), (637, 393, 230, 151), (892, 239, 238, 302), (369, 300, 123, 156), (350, 545, 150, 155), (522, 550, 318, 131)]"
RC014,"[35.486008, 41.064384, 14.717327, 15.241379, 26.170988, 20.699272, 20.471767]","[14.142135623730951, 60.207972893961475, 44.721359549995796, 53.85164807134504, 50.0, 52.20153254455275, 50.0]","[(314, 129, 54, 254), (782, 247, 87, 96), (597, 343, 230, 151), (882, 189, 153, 322), (379, 350, 123, 156), (410, 545, 150, 165), (472, 500, 308, 121)]"
RC015,"[17.918016, 17.14283, 15.308209, 9.961112, 20.817787, 17.055208, 15.722752]","[35.0, 14.142135623730951, 50.0, 21.213203435596427, 35.0, 22.360679774997898, 15.811388300841896]","[(324, 159, 54, 264), (752, 277, 87, 86), (657, 353, 230, 151), (872, 249, 163, 312), (349, 300, 133, 156), (340, 535, 150, 155), (502, 560, 318, 131)]"
RC016,"[27.820387, 18.28625, 24.867079, 9.396015, 37.153774, 18.577261, 16.196896]","[14.142135623730951, 0.0, 50.0, 29.154759474226502, 58.309518948453004, 18.027756377319946, 32.01562118716424]","[(314, 109, 54, 254), (742, 287, 87, 86), (647, 423, 230, 151), (892, 229, 301, 332), (329, 330, 123, 156), (350, 545, 150, 165), (532, 560, 318, 121)]"
RC018,"[20.984953, 16.984188, 13.784331, 13.806857, 22.048628, 12.237122, 17.806967]","[41.23105625617661, 10.0, 50.0, 55.90169943749474, 28.284271247461902, 36.05551275463989, 41.23105625617661]","[(314, 159, 54, 254), (742, 297, 87, 86), (667, 383, 230, 151), (902, 259, 157, 312), (399, 320, 123, 156), (380, 555, 150, 155), (512, 580, 308, 121)]"
RC021,"[45.147785, 16.270475, 18.994698, 20.482388, 35.98877, 43.11062, 18.355091]","[10.0, 40.311288741492746, 50.0, 42.42640687119285, 45.27692569068709, 36.05551275463989, 40.311288741492746]","[(324, 109, 54, 254), (732, 257, 107, 96), (647, 343, 230, 151), (882, 259, 85, 302), (389, 350, 133, 166), (390, 505, 150, 155), (502, 580, 378, 161)]"
RC023,"[49.246902, 18.592678, 30.804083, 10.349323, 33.52615, 17.37339, 16.313915]","[53.85164807134504, 41.23105625617661, 44.721359549995796, 20.615528128088304, 25.0, 28.284271247461902, 41.23105625617661]","[(304, 69, 54, 254), (752, 327, 87, 86), (637, 423, 230, 151), (882, 229, 239, 312), (399, 320, 123, 166), (340, 545, 150, 155), (542, 550, 308, 121)]"
RC024,"[31.110306, 17.256165, 16.981056, 22.754292, 30.673807, 15.293914, 16.720339]","[26.92582403567252, 28.284271247461902, 33.54101966249684, 21.213203435596427, 22.360679774997898, 20.0, 31.622776601683793]","[(304, 139, 64, 274), (762, 307, 87, 86), (647, 373, 230, 161), (882, 259, 185, 332), (399, 310, 123, 156), (360, 545, 150, 155), (512, 510, 308, 121)]"
RC025,"[26.238329, 43.502056, 36.022003, 9.606688, 17.448053, 12.764716, 16.911139]","[65.19202405202648, 66.70832032063167, 41.23105625617661, 20.615528128088304, 26.92582403567252, 58.309518948453004, 35.35533905932738]","[(264, 119, 64, 264), (732, 227, 97, 96), (607, 423, 230, 151), (882, 239, 188, 312), (369, 300, 153, 176), (410, 555, 150, 155), (532, 570, 318, 131)]"
RC026,"[47.28448, 16.49641, 36.7512, 28.73227, 31.601568, 42.2817, 19.633387]","[50.0, 77.78174593052023, 14.142135623730951, 36.05551275463989, 53.85164807134504, 36.05551275463989, 52.20153254455275]","[(324, 69, 54, 254), (692, 237, 97, 96), (627, 373, 230, 151), (882, 209, 156, 302), (329, 280, 123, 156), (330, 505, 150, 155), (492, 490, 318, 121)]"
RC028,"[34.700058, 23.698694, 23.687124, 13.446859, 33.005795, 17.129126, 20.803934]","[41.23105625617661, 22.360679774997898, 84.8528137423857, 32.01562118716424, 50.0, 28.284271247461902, 40.0]","[(314, 159, 54, 254), (752, 267, 87, 86), (567, 333, 250, 171), (882, 249, 260, 302), (429, 330, 143, 156), (380, 545, 150, 155), (462, 540, 308, 121)]"
RC029,"[20.432888, 19.124983, 14.687588, 13.615965, 23.841171, 22.389248, 17.92555]","[25.0, 10.0, 22.360679774997898, 30.4138126514911, 0.0, 55.90169943749474, 25.0]","[(324, 149, 54, 264), (752, 287, 87, 86), (627, 363, 230, 151), (882, 229, 242, 312), (379, 300, 123, 156), (410, 555, 150, 165), (482, 560, 308, 131)]"
RC030,"[41.56505, 23.850054, 15.79368, 10.931324, 32.67128, 14.775514, 16.34845]","[76.32168761236873, 22.360679774997898, 50.0, 28.284271247461902, 30.4138126514911, 36.05551275463989, 31.622776601683793]","[(294, 59, 74, 264), (762, 297, 87, 86), (657, 353, 230, 151), (872, 209, 243, 302), (349, 320, 123, 186), (380, 555, 150, 155), (532, 550, 308, 121)]"
RC031,"[22.303408, 16.969542, 13.777492, 14.22117, 32.773705, 40.23461, 16.515781]","[36.05551275463989, 38.07886552931954, 31.622776601683793, 50.99019513592785, 31.622776601683793, 64.03124237432849, 36.05551275463989]","[(304, 109, 74, 274), (712, 307, 97, 96), (587, 393, 230, 151), (902, 239, 251, 302), (389, 330, 123, 156), (400, 475, 150, 155), (472, 560, 308, 121)]"
RC034,"[25.241179, 16.303455, 15.764679, 12.58336, 18.767529, 13.158436, 15.08418]","[44.721359549995796, 32.01562118716424, 20.0, 44.721359549995796, 7.0710678118654755, 15.811388300841896, 53.85164807134504]","[(304, 159, 54, 254), (762, 317, 87, 96), (637, 383, 230, 151), (892, 249, 163, 302), (379, 310, 133, 166), (370, 545, 160, 165), (552, 560, 308, 121)]"
RC036,"[42.024494, 16.621536, 16.923885, 14.681891, 35.34996, 26.176697, 16.200083]","[79.05694150420949, 36.05551275463989, 28.284271247461902, 52.20153254455275, 50.99019513592785, 58.52349955359813, 10.0]","[(264, 169, 64, 264), (762, 317, 87, 86), (637, 363, 230, 151), (872, 279, 241, 302), (389, 250, 123, 156), (340, 475, 150, 165), (512, 540, 308, 121)]"
RC037,"[45.894714, 18.40413, 18.003391, 29.6587, 32.87971, 39.77569, 19.646656]","[57.0087712549569, 20.615528128088304, 36.40054944640259, 38.07886552931954, 36.05551275463989, 53.85164807134504, 25.495097567963924]","[(274, 139, 64, 264), (722, 287, 87, 96), (587, 373, 240, 151), (872, 269, 267, 312), (349, 320, 123, 156), (340, 575, 150, 155), (482, 550, 318, 131)]"
RC038,"[25.50478, 16.728613, 13.86689, 12.031283, 25.250515, 29.15627, 18.1771]","[20.0, 20.0, 10.0, 29.154759474226502, 10.0, 22.360679774997898, 25.495097567963924]","[(304, 119, 54, 254), (762, 287, 87, 86), (627, 383, 230, 151), (892, 259, 244, 332), (369, 300, 123, 156), (350, 545, 150, 155), (512, 520, 318, 131)]"
RC039,"[19.395296, 14.709913, 15.986181, 9.36115, 20.782217, 12.819362, 19.170351]","[53.85164807134504, 22.360679774997898, 58.309518948453004, 40.0, 25.0, 20.0, 14.142135623730951]","[(304, 169, 54, 254), (762, 277, 87, 86), (667, 353, 230, 151), (892, 229, 231, 302), (369, 280, 133, 156), (360, 545, 150, 155), (492, 530, 308, 121)]"
RC041,"[42.839634, 15.8601265, 16.99735, 11.160748, 19.804289, 31.605545, 15.75655]","[50.0, 20.0, 40.311288741492746, 42.42640687119285, 47.16990566028302, 28.284271247461902, 38.07886552931954]","[(274, 119, 54, 254), (742, 267, 87, 86), (657, 383, 230, 161), (882, 199, 165, 302), (369, 270, 153, 176), (340, 505, 150, 155), (522, 580, 318, 131)]"
RC042,"[42.01833, 23.594988, 17.818996, 19.06766, 19.868797, 17.061134, 16.77054]","[85.0, 62.64982043070834, 22.360679774997898, 15.0, 25.495097567963924, 40.0, 30.0]","[(254, 129, 84, 274), (722, 247, 107, 116), (637, 373, 230, 151), (872, 229, 264, 302), (369, 310, 153, 166), (400, 525, 150, 155), (502, 510, 308, 121)]"
RC043,"[23.01119, 41.713383, 15.015773, 25.63532, 32.633575, 25.795042, 20.520487]","[25.495097567963924, 79.05694150420949, 64.03124237432849, 67.26812023536856, 50.99019513592785, 42.42640687119285, 50.0]","[(304, 139, 64, 284), (732, 227, 117, 116), (567, 423, 230, 151), (812, 279, 197, 312), (389, 350, 123, 156), (390, 555, 150, 155), (532, 580, 308, 121)]"
RC045,"[38.43866, 16.231594, 19.367445, 15.036909, 25.568668, 14.741272, 16.582336]","[50.0, 21.213203435596427, 41.23105625617661, 50.0, 57.0087712549569, 20.615528128088304, 10.0]","[(294, 99, 74, 274), (732, 277, 97, 96), (627, 343, 230, 151), (902, 209, 278, 322), (359, 270, 153, 186), (370, 545, 160, 155), (502, 550, 308, 121)]"
RC046,"[23.633877, 27.217577, 23.46681, 14.786287, 36.25791, 15.685602, 20.168556]","[22.360679774997898, 31.622776601683793, 10.0, 50.99019513592785, 50.99019513592785, 14.142135623730951, 30.0]","[(314, 139, 54, 254), (732, 317, 87, 86), (617, 373, 230, 151), (902, 249, 152, 322), (329, 290, 123, 156), (370, 535, 150, 155), (532, 540, 308, 121)]"
RC047,"[41.759846, 38.673447, 26.611422, 19.846222, 35.226624, 17.15339, 23.92506]","[64.03124237432849, 38.07886552931954, 50.24937810560445, 50.99019513592785, 56.568542494923804, 43.01162633521314, 36.40054944640259]","[(274, 159, 54, 254), (732, 257, 97, 96), (627, 433, 240, 151), (852, 179, 146, 302), (339, 260, 123, 156), (400, 555, 160, 165), (542, 550, 318, 121)]"
RC048,"[26.777649, 23.050077, 19.252157, 16.940084, 36.158283, 17.628948, 26.870277]","[32.01562118716424, 71.06335201775947, 40.0, 49.24428900898052, 53.150729063673246, 21.213203435596427, 56.568542494923804]","[(304, 99, 64, 254), (692, 247, 97, 96), (577, 383, 230, 151), (902, 219, 296, 322), (419, 340, 123, 166), (360, 545, 180, 165), (462, 580, 308, 121)]"
RC049,"[25.945135, 15.868595, 15.685936, 13.416182, 20.555943, 40.39141, 17.990557]","[41.23105625617661, 25.495097567963924, 31.622776601683793, 60.207972893961475, 21.213203435596427, 10.0, 22.360679774997898]","[(314, 159, 54, 254), (722, 297, 97, 96), (647, 373, 230, 151), (902, 269, 210, 302), (369, 320, 133, 166), (350, 525, 150, 155), (512, 560, 308, 121)]"
RC050,"[40.115288, 19.325783, 47.593994, 18.162159, 22.786755, 28.9196, 16.67412]","[28.284271247461902, 31.622776601683793, 14.142135623730951, 40.0, 36.40054944640259, 44.721359549995796, 25.495097567963924]","[(304, 99, 54, 254), (712, 297, 87, 86), (627, 393, 230, 151), (892, 229, 216, 302), (359, 300, 153, 176), (400, 545, 150, 155), (532, 550, 318, 131)]"
RC051,"[41.81064, 16.264898, 15.622482, 10.135749, 23.8368, 16.37861, 16.6318]","[32.01562118716424, 22.360679774997898, 20.0, 25.0, 15.0, 22.360679774997898, 30.0]","[(304, 149, 54, 264), (722, 277, 87, 86), (637, 383, 230, 151), (882, 229, 273, 332), (379, 320, 123, 166), (340, 535, 150, 155), (532, 540, 308, 121)]"
RC052,"[23.541882, 16.289415, 15.577916, 13.687039, 20.656542, 16.376806, 15.680757]","[10.0, 14.142135623730951, 40.0, 53.85164807134504, 20.615528128088304, 20.615528128088304, 10.0]","[(314, 119, 54, 254), (752, 297, 87, 86), (657, 383, 230, 151), (902, 249, 280, 302), (369, 300, 143, 166), (360, 545, 160, 155), (512, 550, 308, 141)]"
RC054,"[22.410234, 19.760153, 15.961484, 9.691676, 36.28736, 26.711086, 16.10429]","[60.8276253029822, 31.622776601683793, 38.07886552931954, 53.85164807134504, 50.99019513592785, 73.824115301167, 61.84658438426491]","[(274, 139, 74, 274), (772, 277, 87, 86), (637, 353, 240, 161), (902, 249, 204, 302), (329, 310, 123, 156), (300, 565, 160, 165), (452, 560, 328, 131)]"
RC055,"[42.839634, 25.996881, 19.768904, 13.808875, 32.602318, 46.8194, 26.268692]","[58.309518948453004, 36.05551275463989, 50.0, 53.85164807134504, 83.21658488546619, 53.85164807134504, 30.0]","[(274, 89, 54, 254), (762, 317, 87, 86), (657, 353, 230, 151), (902, 249, 124, 302), (319, 260, 143, 166), (380, 575, 150, 155), (532, 540, 308, 121)]"
RC056,"[22.065542, 47.816673, 19.4996, 17.446802, 26.144127, 28.643373, 19.435759]","[85.0, 53.85164807134504, 70.71067811865476, 28.284271247461902, 41.23105625617661, 64.03124237432849, 64.03124237432849]","[(264, 149, 104, 314), (792, 307, 87, 86), (667, 333, 230, 151), (872, 249, 139, 302), (369, 340, 123, 156), (330, 475, 170, 155), (462, 590, 308, 121)]"
RC057,"[42.815723, 15.707698, 41.207752, 14.027999, 24.588758, 27.869886, 25.766798]","[31.622776601683793, 22.360679774997898, 44.721359549995796, 14.142135623730951, 20.0, 39.05124837953327, 50.0]","[(294, 129, 54, 254), (752, 307, 87, 86), (657, 363, 230, 151), (872, 249, 143, 322), (379, 320, 123, 156), (390, 555, 160, 155), (502, 490, 308, 121)]"
RC059,"[42.839634, 42.06059, 51.849133, 9.049094, 32.16204, 19.137564, 17.231321]","[70.71067811865476, 71.06335201775947, 40.0, 42.720018726587654, 72.11102550927978, 30.0, 31.622776601683793]","[(274, 69, 54, 254), (792, 237, 97, 96), (617, 423, 230, 151), (892, 219, 209, 312), (329, 350, 143, 176), (390, 525, 150, 155), (512, 510, 308, 121)]"
RC060,"[23.50876, 16.403309, 14.893591, 16.206984, 23.548437, 21.420628, 16.793863]","[20.615528128088304, 5.0, 15.811388300841896, 46.09772228646444, 21.213203435596427, 22.360679774997898, 30.0]","[(324, 139, 64, 254), (752, 287, 97, 86), (627, 373, 240, 161), (902, 249, 231, 322), (369, 290, 133, 166), (370, 545, 150, 155), (502, 510, 308, 121)]"
RC061,"[42.109203, 17.493847, 17.2341, 9.511499, 28.802917, 15.1444435, 15.891922]","[71.58910531638176, 14.142135623730951, 25.0, 40.0, 42.720018726587654, 10.0, 11.180339887498949]","[(264, 159, 64, 274), (752, 297, 87, 86), (647, 383, 240, 151), (892, 229, 181, 302), (349, 320, 143, 166), (350, 525, 150, 155), (502, 550, 318, 121)]"
RC062,"[26.816204, 15.190598, 13.262694, 9.802291, 24.512394, 18.551132, 17.979158]","[30.0, 20.0, 10.0, 15.0, 31.622776601683793, 11.180339887498949, 22.360679774997898]","[(324, 149, 54, 254), (762, 287, 87, 86), (627, 383, 230, 151), (862, 219, 244, 312), (369, 330, 123, 156), (370, 535, 160, 155), (522, 550, 308, 121)]"
RC063,"[24.88587, 43.085773, 36.361034, 9.853704, 18.45164, 12.558278, 16.126167]","[55.90169943749474, 51.478150704935004, 18.027756377319946, 53.85164807134504, 22.360679774997898, 43.01162633521314, 44.721359549995796]","[(274, 119, 64, 274), (702, 277, 97, 116), (607, 393, 240, 151), (902, 249, 174, 302), (369, 300, 143, 176), (400, 555, 160, 165), (522, 580, 308, 121)]"
RC065,"[20.21832, 16.1819, 18.790098, 11.21711, 24.523672, 13.162139, 16.919937]","[44.721359549995796, 10.0, 40.0, 10.0, 0.0, 29.154759474226502, 20.0]","[(304, 159, 54, 254), (732, 287, 87, 86), (657, 383, 230, 151), (892, 249, 317, 342), (379, 300, 123, 156), (390, 545, 160, 165), (502, 520, 308, 121)]"
RC066,"[43.306686, 32.13796, 19.450144, 29.252277, 32.123566, 23.210602, 19.1783]","[95.13148795220224, 52.20153254455275, 53.85164807134504, 64.03124237432849, 61.032778078668514, 39.05124837953327, 58.309518948453004]","[(234, 119, 64, 264), (732, 337, 97, 86), (637, 333, 230, 151), (802, 269, 289, 302), (419, 250, 133, 156), (340, 495, 160, 155), (532, 490, 308, 121)]"
RC069,"[24.613317, 16.864336, 16.35298, 10.688742, 18.751093, 15.577451, 15.896132]","[45.0, 20.615528128088304, 41.23105625617661, 36.40054944640259, 22.360679774997898, 14.142135623730951, 22.360679774997898]","[(284, 119, 64, 254), (732, 287, 107, 96), (657, 373, 230, 151), (892, 219, 287, 302), (369, 300, 143, 176), (370, 535, 150, 155), (512, 560, 308, 121)]"
RC070,"[28.9138, 16.5027, 20.976122, 25.663988, 34.440628, 14.750593, 15.706857]","[40.311288741492746, 32.01562118716424, 58.309518948453004, 31.622776601683793, 64.03124237432849, 36.05551275463989, 50.99019513592785]","[(294, 129, 74, 264), (722, 277, 97, 106), (587, 433, 230, 151), (862, 259, 215, 302), (329, 340, 123, 156), (380, 555, 150, 155), (492, 590, 308, 121)]"
RC071,"[33.518585, 16.309841, 14.50454, 8.321141, 24.21596, 14.158114, 16.219328]","[46.09772228646444, 14.142135623730951, 32.01562118716424, 20.615528128088304, 22.360679774997898, 10.0, 31.622776601683793]","[(314, 169, 54, 264), (732, 277, 87, 86), (637, 363, 230, 161), (882, 249, 214, 332), (399, 310, 123, 156), (370, 525, 150, 155), (492, 570, 308, 121)]"
RC073,"[38.970608, 16.47364, 23.707525, 8.845936, 37.172417, 17.248161, 20.885399]","[26.92582403567252, 57.0087712549569, 30.4138126514911, 30.4138126514911, 58.309518948453004, 28.284271247461902, 22.360679774997898]","[(304, 139, 64, 274), (762, 237, 97, 96), (627, 353, 240, 151), (862, 209, 202, 322), (429, 270, 123, 156), (380, 545, 150, 155), (532, 550, 328, 121)]"
RC074,"[45.190002, 15.726754, 13.239408, 9.075456, 25.84209, 15.5202, 19.009747]","[36.05551275463989, 25.495097567963924, 20.0, 65.19202405202648, 30.0, 14.142135623730951, 14.142135623730951]","[(294, 99, 54, 254), (722, 287, 97, 96), (597, 383, 230, 151), (872, 189, 248, 352), (349, 300, 123, 156), (370, 535, 150, 155), (492, 530, 308, 121)]"
RC075,"[42.649906, 39.80826, 16.01995, 25.768078, 39.16571, 29.75675, 18.287663]","[58.309518948453004, 35.0, 5.0, 11.180339887498949, 50.0, 10.0, 58.309518948453004]","[(294, 69, 54, 254), (742, 257, 87, 96), (617, 383, 240, 151), (862, 239, 225, 302), (349, 260, 123, 156), (360, 535, 150, 155), (552, 570, 308, 121)]"
RC076,"[19.208422, 16.585474, 15.975675, 11.098623, 30.289421, 18.837872, 15.61886]","[25.495097567963924, 10.0, 50.0, 41.23105625617661, 44.721359549995796, 0.0, 15.811388300841896]","[(304, 129, 64, 264), (752, 287, 87, 86), (667, 383, 230, 151), (892, 219, 280, 302), (339, 280, 123, 156), (360, 525, 150, 155), (492, 540, 318, 131)]"
RC077,"[62.350506, 39.26019, 22.092972, 14.511874, 36.138805, 17.734339, 16.575558]","[22.360679774997898, 74.33034373659252, 50.0, 41.23105625617661, 38.07886552931954, 14.142135623730951, 30.0]","[(334, 99, 54, 254), (692, 337, 97, 86), (657, 353, 230, 151), (892, 219, 223, 302), (349, 330, 133, 186), (350, 535, 150, 155), (532, 540, 308, 121)]"
RC078,"[42.460014, 19.541454, 16.945906, 28.111214, 35.92364, 14.397849, 32.69176]","[60.41522986797286, 28.284271247461902, 39.05124837953327, 22.360679774997898, 62.64982043070834, 58.309518948453004, 28.284271247461902]","[(304, 69, 64, 264), (762, 307, 87, 86), (647, 413, 230, 161), (862, 209, 161, 302), (329, 330, 133, 156), (330, 575, 150, 155), (482, 560, 308, 121)]"
