names,scores,distances,rect
RC001,"[10.267657, 24.849115, 17.36742, 30.87848, 51.768887, 21.717083, 15.614181]","[33.54101966249684, 65.0, 22.360679774997898, 41.23105625617661, 50.0, 22.360679774997898, 20.0]","[(314, 89, 64, 254), (682, 267, 87, 96), (607, 363, 230, 151), (842, 269, 125, 302), (419, 270, 123, 156), (350, 545, 150, 155), (502, 560, 308, 121)]"
RC002,"[20.706806, 20.53287, 25.554428, 19.923075, 46.7113, 21.981024, 17.769363]","[11.180339887498949, 35.0, 15.811388300841896, 46.09772228646444, 36.05551275463989, 25.0, 30.0]","[(314, 129, 54, 264), (742, 327, 87, 96), (637, 383, 240, 161), (892, 269, 256, 312), (349, 320, 123, 156), (340, 545, 150, 165), (502, 570, 308, 121)]"
RC003,"[31.400742, 42.64084, 34.903934, 43.0637, 50.72805, 24.793264, 19.021545]","[50.99019513592785, 46.09772228646444, 31.622776601683793, 22.360679774997898, 50.0, 54.08326913195984, 45.0]","[(314, 69, 54, 254), (782, 317, 97, 86), (627, 413, 230, 151), (842, 209, 165, 302), (419, 270, 123, 156), (330, 575, 150, 165), (512, 590, 328, 131)]"
RC004,"[10.631513, 40.290043, 13.039457, 25.811558, 31.820265, 28.920296, 18.18459]","[36.05551275463989, 65.0, 10.0, 50.0, 14.142135623730951, 42.42640687119285, 50.0]","[(304, 89, 54, 254), (682, 287, 97, 86), (617, 393, 230, 151), (892, 199, 149, 302), (379, 320, 143, 176), (340, 565, 170, 175), (502, 590, 308, 121)]"
RC009,"[25.629768, 45.89418, 37.10302, 44.337723, 52.45962, 60.354984, 26.028467]","[58.309518948453004, 18.027756377319946, 35.35533905932738, 60.8276253029822, 58.309518948453004, 30.0, 64.03124237432849]","[(274, 89, 54, 254), (742, 317, 117, 126), (627, 423, 240, 161), (792, 219, 193, 302), (329, 330, 123, 156), (390, 525, 150, 155), (452, 580, 308, 121)]"
RC011,"[11.981727, 19.513468, 29.599216, 20.931202, 28.128319, 19.364237, 15.8452215]","[22.360679774997898, 60.41522986797286, 25.0, 30.4138126514911, 25.0, 29.154759474226502, 50.0]","[(304, 129, 54, 254), (732, 247, 117, 116), (647, 383, 240, 151), (882, 229, 195, 312), (379, 280, 123, 166), (380, 555, 160, 165), (542, 570, 308, 121)]"
RC012,"[9.520314, 41.960484, 17.466661, 30.04668, 50.271187, 35.903156, 20.798483]","[77.62087348130012, 60.207972893961475, 14.142135623730951, 33.54101966249684, 53.85164807134504, 60.207972893961475, 22.360679774997898]","[(264, 109, 84, 274), (792, 327, 97, 86), (607, 373, 230, 151), (902, 269, 281, 352), (429, 280, 123, 156), (410, 485, 160, 155), (522, 550, 308, 121)]"
RC013,"[10.043779, 24.816639, 12.65021, 16.995466, 28.284664, 22.141401, 16.222342]","[33.54101966249684, 22.360679774997898, 28.284271247461902, 50.99019513592785, 0.0, 36.40054944640259, 44.721359549995796]","[(304, 109, 74, 264), (762, 277, 87, 86), (597, 363, 230, 151), (902, 219, 238, 302), (379, 300, 123, 156), (400, 535, 160, 155), (542, 560, 308, 121)]"
RC014,"[26.450945, 29.222599, 14.080309, 25.502693, 34.45548, 20.517544, 21.461899]","[78.10249675906654, 56.568542494923804, 31.622776601683793, 88.60022573334675, 50.99019513592785, 20.0, 53.85164807134504]","[(264, 169, 54, 254), (782, 247, 87, 86), (607, 353, 230, 151), (882, 149, 143, 312), (389, 350, 123, 156), (360, 545, 150, 155), (452, 520, 308, 121)]"
RC015,"[10.272188, 21.709616, 13.164347, 15.002974, 29.59484, 23.574078, 15.472536]","[25.0, 22.360679774997898, 14.142135623730951, 20.0, 0.0, 29.154759474226502, 15.811388300841896]","[(314, 149, 64, 274), (762, 277, 87, 86), (627, 393, 230, 151), (872, 229, 153, 302), (379, 300, 123, 156), (340, 545, 160, 165), (522, 550, 318, 131)]"
RC016,"[10.939062, 23.148376, 29.222607, 16.820654, 51.611694, 26.122538, 16.155598]","[57.0087712549569, 10.0, 25.495097567963924, 39.05124837953327, 50.0, 22.360679774997898, 20.0]","[(294, 79, 64, 264), (752, 287, 87, 86), (627, 363, 240, 161), (892, 219, 291, 332), (409, 260, 123, 156), (350, 545, 150, 155), (502, 560, 308, 121)]"
RC018,"[9.811883, 20.276371, 13.319067, 19.146318, 27.819662, 20.59256, 16.845818]","[18.027756377319946, 18.027756377319946, 15.811388300841896, 7.0710678118654755, 5.0, 50.0, 50.0]","[(314, 139, 54, 264), (732, 297, 97, 86), (637, 393, 240, 161), (872, 229, 187, 312), (379, 310, 133, 176), (390, 565, 150, 155), (542, 570, 308, 121)]"
RC021,"[36.055946, 25.461163, 15.09599, 30.979612, 47.58444, 28.758026, 18.43851]","[44.721359549995796, 40.0, 40.0, 32.01562118716424, 41.23105625617661, 36.05551275463989, 50.99019513592785]","[(304, 79, 54, 254), (742, 247, 87, 86), (657, 383, 230, 151), (842, 219, 115, 322), (419, 310, 123, 156), (390, 545, 150, 155), (512, 490, 308, 121)]"
RC023,"[28.264248, 28.815903, 25.804142, 24.97807, 52.773273, 19.860561, 15.56246]","[96.04686356149273, 41.23105625617661, 32.01562118716424, 14.142135623730951, 58.52349955359813, 39.05124837953327, 14.142135623730951]","[(254, 69, 64, 274), (752, 327, 87, 86), (597, 363, 230, 161), (862, 239, 219, 302), (329, 320, 133, 156), (340, 555, 160, 155), (492, 550, 308, 121)]"
RC024,"[25.629768, 20.40638, 15.039726, 37.745953, 51.026073, 22.612293, 15.844124]","[78.10249675906654, 14.142135623730951, 31.622776601683793, 50.0, 42.42640687119285, 42.42640687119285, 36.05551275463989]","[(264, 169, 54, 254), (752, 297, 87, 86), (647, 393, 230, 151), (882, 269, 155, 302), (409, 330, 123, 156), (390, 555, 150, 155), (522, 570, 308, 121)]"
RC025,"[11.081532, 37.342583, 16.222075, 15.867466, 26.366053, 18.527527, 15.194708]","[72.80109889280519, 46.09772228646444, 14.142135623730951, 15.0, 39.05124837953327, 43.01162633521314, 39.05124837953327]","[(264, 149, 74, 274), (712, 327, 87, 96), (627, 373, 230, 151), (872, 229, 178, 302), (369, 290, 153, 196), (390, 565, 160, 165), (542, 570, 328, 131)]"
RC026,"[12.027313, 22.677534, 24.142216, 34.706703, 51.38471, 34.660564, 16.670847]","[58.52349955359813, 64.03124237432849, 50.99019513592785, 42.720018726587654, 41.23105625617661, 25.0, 58.309518948453004]","[(274, 139, 64, 254), (702, 237, 87, 86), (667, 373, 230, 151), (812, 219, 156, 312), (339, 310, 123, 156), (340, 525, 160, 155), (472, 490, 308, 121)]"
RC028,"[12.782819, 28.303427, 34.082504, 22.991535, 47.680984, 21.326471, 20.322166]","[46.09772228646444, 25.495097567963924, 64.03124237432849, 41.23105625617661, 28.284271247461902, 28.284271247461902, 58.52349955359813]","[(314, 169, 54, 264), (742, 267, 97, 96), (657, 333, 230, 151), (892, 239, 250, 302), (399, 320, 123, 156), (380, 545, 150, 155), (452, 560, 318, 121)]"
RC029,"[11.871473, 30.915058, 13.337721, 24.386766, 37.937096, 33.885967, 15.944598]","[10.0, 22.360679774997898, 22.360679774997898, 50.0, 7.0710678118654755, 44.721359549995796, 33.54101966249684]","[(314, 119, 54, 254), (732, 307, 87, 86), (627, 403, 230, 151), (902, 229, 242, 302), (379, 300, 133, 166), (380, 565, 150, 155), (522, 510, 318, 121)]"
RC030,"[24.535847, 40.29205, 16.917013, 18.385717, 54.167572, 24.883743, 15.709466]","[64.03124237432849, 10.0, 50.0, 53.85164807134504, 31.622776601683793, 42.42640687119285, 42.720018726587654]","[(274, 159, 54, 254), (732, 287, 87, 86), (647, 343, 230, 151), (872, 189, 243, 322), (349, 290, 123, 156), (390, 555, 150, 155), (542, 560, 308, 131)]"
RC031,"[9.583999, 20.820658, 12.960715, 18.272928, 48.90681, 36.472, 16.112747]","[29.154759474226502, 36.05551275463989, 10.0, 35.35533905932738, 10.0, 64.03124237432849, 41.23105625617661]","[(304, 109, 64, 264), (722, 317, 87, 86), (617, 393, 230, 151), (892, 229, 261, 312), (379, 310, 123, 156), (410, 485, 150, 155), (462, 550, 308, 121)]"
RC034,"[9.586513, 21.560204, 13.310974, 21.947817, 23.567263, 19.822472, 16.692451]","[35.35533905932738, 42.42640687119285, 22.360679774997898, 44.721359549995796, 7.0710678118654755, 20.615528128088304, 30.0]","[(294, 129, 64, 264), (772, 317, 87, 86), (637, 393, 230, 151), (892, 249, 163, 302), (379, 310, 133, 166), (360, 545, 160, 155), (502, 570, 308, 121)]"
RC036,"[10.326505, 21.738462, 14.531418, 19.903631, 53.116364, 29.71657, 16.511627]","[29.154759474226502, 42.42640687119285, 14.142135623730951, 58.309518948453004, 41.23105625617661, 22.360679774997898, 20.0]","[(304, 139, 64, 264), (772, 317, 87, 86), (627, 373, 230, 151), (882, 279, 231, 302), (369, 260, 123, 156), (340, 515, 150, 155), (522, 540, 308, 121)]"
RC037,"[33.316563, 23.024729, 14.33902, 20.815279, 47.138298, 54.01413, 20.487213]","[99.24716620639605, 22.360679774997898, 30.0, 41.23105625617661, 28.284271247461902, 64.03124237432849, 69.46221994724903]","[(264, 49, 64, 264), (722, 297, 87, 86), (587, 383, 230, 151), (892, 219, 257, 302), (359, 280, 123, 156), (400, 475, 150, 155), (452, 580, 328, 131)]"
RC038,"[10.478812, 19.911694, 14.091833, 18.094929, 29.805918, 26.165539, 15.691374]","[50.99019513592785, 14.142135623730951, 10.0, 28.284271247461902, 22.360679774997898, 30.0, 31.622776601683793]","[(284, 139, 74, 274), (752, 297, 87, 86), (627, 383, 230, 151), (872, 249, 214, 302), (369, 320, 123, 156), (360, 555, 150, 155), (512, 570, 308, 121)]"
RC039,"[10.277004, 19.569386, 12.890606, 17.448885, 28.214024, 20.57922, 16.332943]","[50.0, 22.360679774997898, 10.0, 36.40054944640259, 15.0, 20.0, 31.622776601683793]","[(294, 159, 54, 254), (762, 277, 87, 86), (627, 383, 230, 151), (872, 209, 251, 332), (379, 290, 123, 166), (360, 545, 150, 155), (492, 570, 308, 121)]"
RC041,"[10.19832, 21.29052, 14.554181, 18.64312, 26.950476, 40.75107, 15.626332]","[50.0, 20.615528128088304, 11.180339887498949, 31.622776601683793, 44.721359549995796, 7.0710678118654755, 20.0]","[(324, 169, 54, 254), (742, 277, 97, 106), (627, 383, 230, 161), (882, 219, 165, 302), (369, 270, 143, 176), (360, 525, 160, 165), (502, 560, 308, 121)]"
RC042,"[24.118397, 22.95479, 17.377148, 27.34692, 24.933077, 28.625612, 15.569435]","[41.23105625617661, 87.32124598286491, 14.142135623730951, 40.311288741492746, 22.360679774997898, 30.4138126514911, 26.92582403567252]","[(284, 129, 54, 254), (722, 217, 117, 106), (627, 373, 230, 151), (872, 199, 254, 312), (389, 320, 123, 156), (390, 525, 150, 165), (512, 570, 308, 131)]"
RC043,"[10.332569, 41.208366, 13.72546, 29.19547, 47.17074, 25.907661, 29.96924]","[25.0, 40.311288741492746, 70.71067811865476, 58.309518948453004, 64.03124237432849, 64.03124237432849, 41.23105625617661]","[(304, 139, 54, 264), (762, 327, 87, 96), (567, 403, 270, 171), (902, 259, 177, 302), (339, 350, 123, 156), (410, 565, 150, 155), (492, 580, 308, 121)]"
RC045,"[12.185834, 21.95923, 14.14765, 18.736416, 41.904102, 21.696451, 15.875931]","[75.0, 30.4138126514911, 31.622776601683793, 55.226805085936306, 22.360679774997898, 26.92582403567252, 31.622776601683793]","[(294, 79, 84, 294), (722, 287, 107, 96), (647, 393, 230, 151), (872, 199, 308, 352), (369, 280, 123, 156), (370, 555, 150, 165), (512, 570, 308, 121)]"
RC046,"[9.216376, 37.859352, 15.56549, 26.853437, 52.804626, 22.508305, 19.901459]","[26.92582403567252, 67.26812023536856, 22.360679774997898, 30.4138126514911, 58.309518948453004, 25.0, 56.568542494923804]","[(304, 129, 64, 254), (702, 337, 97, 86), (637, 393, 230, 151), (862, 259, 162, 302), (329, 270, 123, 156), (340, 545, 150, 165), (462, 500, 308, 121)]"
RC047,"[21.628613, 40.64894, 29.109844, 38.736546, 48.483734, 21.831284, 23.667559]","[41.23105625617661, 43.01162633521314, 55.90169943749474, 45.27692569068709, 54.08326913195984, 61.032778078668514, 10.0]","[(284, 119, 54, 274), (772, 327, 97, 96), (667, 363, 230, 161), (812, 229, 136, 312), (429, 330, 133, 156), (410, 495, 150, 165), (492, 540, 308, 121)]"
RC048,"[15.938756, 25.835787, 18.579765, 22.520336, 56.05169, 21.640165, 18.58301]","[52.20153254455275, 98.6154146165801, 50.0, 58.309518948453004, 58.309518948453004, 44.721359549995796, 41.23105625617661]","[(314, 169, 64, 254), (662, 247, 97, 106), (567, 383, 230, 151), (902, 199, 326, 342), (429, 330, 123, 156), (400, 545, 150, 155), (542, 530, 308, 121)]"
RC049,"[10.335001, 20.06243, 14.738295, 17.835108, 28.936546, 36.793472, 16.07601]","[10.0, 26.92582403567252, 42.42640687119285, 36.40054944640259, 20.0, 10.0, 31.622776601683793]","[(324, 129, 54, 254), (722, 297, 97, 86), (587, 353, 230, 151), (892, 239, 210, 302), (379, 320, 123, 156), (350, 525, 150, 155), (472, 550, 308, 121)]"
RC050,"[25.629768, 23.631275, 21.288256, 19.100906, 44.45894, 33.56677, 17.75548]","[60.0, 25.495097567963924, 60.41522986797286, 50.0, 22.360679774997898, 58.309518948453004, 50.99019513592785]","[(264, 119, 54, 254), (722, 297, 97, 96), (647, 333, 240, 161), (902, 229, 216, 302), (399, 310, 123, 156), (410, 555, 150, 155), (552, 550, 308, 121)]"
RC051,"[25.860472, 18.565502, 15.654188, 17.120552, 35.48702, 22.536268, 15.560875]","[79.05694150420949, 35.35533905932738, 15.811388300841896, 55.90169943749474, 18.027756377319946, 28.284271247461902, 10.0]","[(254, 109, 64, 284), (722, 267, 97, 96), (607, 383, 240, 161), (892, 199, 283, 342), (369, 290, 133, 156), (340, 545, 150, 155), (502, 550, 308, 121)]"
RC052,"[10.144092, 23.294014, 13.202092, 20.360828, 29.450417, 24.991297, 15.770504]","[21.213203435596427, 14.142135623730951, 22.360679774997898, 51.478150704935004, 25.495097567963924, 28.284271247461902, 53.85164807134504]","[(314, 109, 64, 264), (752, 297, 87, 86), (627, 403, 230, 151), (902, 209, 290, 312), (369, 320, 153, 186), (380, 545, 150, 155), (552, 560, 308, 121)]"
RC054,"[9.343134, 25.874344, 22.382244, 19.893055, 56.31873, 27.512455, 15.876822]","[54.08326913195984, 31.622776601683793, 50.0, 10.0, 10.0, 47.16990566028302, 7.0710678118654755]","[(284, 149, 64, 254), (762, 267, 107, 106), (657, 353, 230, 151), (862, 229, 204, 302), (369, 300, 123, 156), (400, 505, 150, 165), (502, 550, 318, 131)]"
RC055,"[25.629768, 40.362732, 13.671976, 25.14276, 49.77254, 50.461643, 24.08099]","[58.309518948453004, 50.0, 50.0, 5.0, 31.622776601683793, 61.032778078668514, 50.0]","[(274, 89, 54, 254), (772, 327, 87, 86), (657, 353, 230, 151), (862, 229, 134, 302), (409, 310, 123, 156), (400, 475, 160, 155), (502, 490, 308, 121)]"
RC056,"[10.661484, 37.79812, 33.121796, 39.74029, 45.52174, 43.625847, 28.346745]","[68.00735254367721, 72.80109889280519, 53.85164807134504, 58.309518948453004, 40.0, 25.0, 50.0]","[(274, 159, 64, 254), (682, 277, 107, 106), (567, 363, 230, 151), (882, 179, 139, 302), (339, 300, 123, 156), (350, 505, 160, 155), (552, 540, 308, 121)]"
RC057,"[17.689037, 21.046999, 15.1091385, 20.808651, 27.460255, 23.062653, 21.072157]","[50.0, 26.92582403567252, 36.05551275463989, 11.180339887498949, 28.284271247461902, 50.0, 31.622776601683793]","[(284, 149, 54, 254), (752, 317, 87, 96), (637, 353, 230, 151), (862, 249, 153, 322), (369, 330, 143, 176), (400, 555, 150, 155), (492, 570, 308, 121)]"
RC059,"[23.130201, 40.674294, 33.870735, 15.172734, 52.665596, 22.404024, 15.966282]","[113.13708498984761, 67.26812023536856, 68.00735254367721, 47.16990566028302, 41.23105625617661, 31.622776601683793, 46.09772228646444]","[(254, 59, 74, 294), (792, 337, 87, 96), (577, 333, 230, 161), (882, 199, 219, 322), (369, 340, 123, 156), (390, 535, 150, 155), (552, 560, 318, 141)]"
RC060,"[11.372292, 21.350206, 14.14068, 20.408619, 36.418896, 23.703508, 16.468832]","[14.142135623730951, 0.0, 15.811388300841896, 25.0, 11.180339887498949, 36.05551275463989, 10.0]","[(314, 109, 54, 254), (742, 287, 87, 86), (617, 373, 240, 161), (872, 209, 231, 302), (379, 310, 143, 166), (350, 555, 170, 155), (502, 550, 308, 121)]"
RC061,"[25.538237, 19.705462, 13.122299, 9.7760725, 46.595757, 22.289665, 16.048319]","[64.03124237432849, 14.142135623730951, 10.0, 15.0, 31.622776601683793, 15.811388300841896, 7.0710678118654755]","[(274, 159, 54, 254), (752, 297, 87, 86), (617, 393, 230, 151), (872, 229, 191, 302), (369, 330, 123, 156), (360, 545, 160, 165), (502, 550, 318, 131)]"
RC062,"[10.649438, 20.137833, 12.192838, 17.648668, 38.371643, 27.400293, 18.990774]","[31.622776601683793, 21.213203435596427, 10.0, 44.721359549995796, 18.027756377319946, 0.0, 10.0]","[(304, 119, 74, 274), (762, 277, 97, 96), (627, 383, 230, 151), (892, 209, 224, 302), (369, 320, 133, 176), (360, 525, 150, 155), (502, 550, 308, 121)]"
RC063,"[10.690358, 40.438473, 14.2116375, 14.954678, 26.54284, 18.369823, 15.375915]","[60.207972893961475, 57.0087712549569, 40.0, 11.180339887498949, 21.213203435596427, 55.90169943749474, 33.54101966249684]","[(274, 139, 74, 284), (702, 327, 97, 96), (657, 383, 230, 151), (872, 229, 194, 312), (379, 300, 153, 186), (390, 575, 160, 155), (532, 580, 338, 141)]"
RC065,"[10.384465, 20.07995, 15.602618, 22.661861, 35.989662, 19.939684, 16.584038]","[30.0, 10.0, 50.0, 50.99019513592785, 31.622776601683793, 64.03124237432849, 40.311288741492746]","[(294, 119, 54, 254), (732, 287, 87, 86), (667, 383, 230, 151), (902, 219, 257, 302), (409, 290, 123, 156), (410, 565, 150, 155), (542, 560, 318, 121)]"
RC066,"[25.629768, 37.95414, 17.010466, 27.456846, 52.021156, 33.719254, 17.470587]","[74.33034373659252, 40.311288741492746, 40.0, 36.05551275463989, 41.23105625617661, 10.0, 44.721359549995796]","[(254, 149, 54, 264), (792, 297, 107, 96), (617, 343, 230, 151), (872, 199, 289, 302), (389, 340, 123, 156), (360, 515, 150, 155), (542, 560, 308, 121)]"
