names,scores,distances,rect
APR2018_DM120418130343-057,"[4.630691, 8.072542, 7.7194395, 6.8940964, 11.284391, 12.068759, 16.27843]","[11.180339887498949, 5.0, 31.622776601683793, 36.40054944640259, 20.615528128088304, 53.85164807134504, 22.360679774997898]","[(314, 129, 54, 264), (752, 287, 97, 86), (647, 393, 230, 151), (892, 239, 261, 302), (379, 320, 133, 156), (340, 475, 150, 155), (482, 550, 308, 121)]"
APR2018_GR270418130633-064,"[3.7987351, 8.095462, 7.7164717, 8.028899, 15.663821, 14.866677, 14.387282]","[10.0, 14.142135623730951, 36.05551275463989, 15.0, 14.142135623730951, 56.568542494923804, 7.0710678118654755]","[(314, 119, 54, 254), (752, 277, 87, 86), (637, 413, 230, 151), (872, 229, 176, 302), (369, 310, 123, 156), (320, 565, 150, 155), (512, 550, 318, 131)]"
DIC2017_PR131217050539-240,"[11.329177, 19.247393, 77.072556, 89.439995, 40.69465, 10.14379, 18.263712]","[44.721359549995796, 40.311288741492746, 41.23105625617661, 44.721359549995796, 10.0, 30.4138126514911, 18.027756377319946]","[(344, 79, 54, 254), (702, 297, 87, 96), (657, 393, 230, 151), (872, 269, 116, 302), (369, 300, 123, 156), (360, 555, 160, 155), (522, 580, 328, 171)]"
AGO2018_DE090818100428-115,"[174.42606, 18.986572, 30.61292, 11.122499, 27.931154, 10.420235, 11.609406]","[58.309518948453004, 87.32124598286491, 22.360679774997898, 60.8276253029822, 32.01562118716424, 29.154759474226502, 36.05551275463989]","[(294, 169, 54, 254), (672, 277, 117, 106), (637, 393, 230, 151), (862, 199, 263, 362), (359, 280, 133, 156), (380, 505, 160, 165), (532, 560, 308, 121)]"
APR2017_BG200417231036-169,"[13.621496, 15.216674, 7.0436625, 14.233785, 37.47098, 11.446131, 12.594898]","[33.54101966249684, 36.05551275463989, 39.05124837953327, 22.360679774997898, 70.71067811865476, 36.05551275463989, 22.360679774997898]","[(354, 159, 54, 304), (762, 317, 87, 86), (647, 413, 240, 151), (882, 259, 271, 322), (329, 250, 123, 156), (330, 545, 150, 155), (512, 520, 308, 121)]"
AGO2018_010818070242-109,"[126.06392, 8.256822, 129.98526, 12.020374, 23.750458, 10.179313, 19.890991]","[50.99019513592785, 43.01162633521314, 15.0, 22.360679774997898, 10.0, 31.622776601683793, 28.284271247461902]","[(314, 169, 54, 254), (712, 267, 97, 96), (617, 403, 230, 161), (862, 209, 201, 302), (379, 290, 123, 156), (350, 555, 150, 155), (522, 520, 308, 121)]"
DIC2017_MG211217250837-251,"[4.449313, 19.018024, 5.447431, 255.41591, 40.5887, 12.830034, 18.450891]","[28.284271247461902, 60.207972893961475, 46.09772228646444, 53.85164807134504, 58.309518948453004, 20.0, 20.0]","[(304, 139, 54, 254), (702, 327, 97, 86), (657, 413, 240, 151), (872, 179, 150, 302), (329, 270, 123, 156), (360, 505, 150, 155), (482, 540, 308, 121)]"
APR2017_AD210417190345-174,"[4.9577656, 16.258945, 28.50816, 179.27342, 20.13689, 10.218847, 15.203695]","[25.0, 53.85164807134504, 22.360679774997898, 20.615528128088304, 22.360679774997898, 50.0, 18.027756377319946]","[(314, 99, 64, 254), (692, 267, 87, 86), (627, 403, 230, 151), (832, 239, 125, 312), (369, 280, 123, 156), (410, 525, 150, 155), (512, 560, 308, 131)]"
DIC2017_GR121217050133-241,"[4.655411, 8.559011, 13.410285, 163.0965, 50.161945, 10.594221, 25.704481]","[20.0, 30.4138126514911, 11.180339887498949, 40.0, 58.52349955359813, 53.85164807134504, 50.0]","[(304, 119, 54, 254), (752, 257, 97, 86), (627, 373, 240, 151), (852, 269, 189, 302), (329, 280, 133, 156), (410, 545, 150, 155), (502, 490, 308, 121)]"
DIC2017_GR191217181038-246,"[3.6620963, 19.067963, 25.017708, 197.63689, 15.506215, 10.648528, 21.877686]","[22.360679774997898, 79.05694150420949, 14.142135623730951, 30.0, 20.0, 18.027756377319946, 30.0]","[(314, 139, 54, 254), (682, 247, 97, 96), (627, 393, 230, 151), (882, 229, 204, 302), (359, 300, 123, 156), (380, 515, 160, 155), (502, 580, 308, 141)]"
APR2018_PD120418031234-056,"[3.7831945, 8.475127, 39.565742, 179.67677, 46.69663, 10.90806, 28.745724]","[14.142135623730951, 76.15773105863909, 56.568542494923804, 18.027756377319946, 10.0, 28.284271247461902, 53.85164807134504]","[(314, 129, 54, 254), (772, 217, 87, 86), (657, 423, 230, 151), (852, 259, 164, 332), (369, 300, 123, 156), (380, 545, 150, 155), (482, 590, 308, 121)]"
AGO2017_CR310817100136-200,"[22.41766, 11.119595, 7.270445, 224.19518, 8.5475235, 10.348428, 11.343202]","[62.64982043070834, 90.13878188659973, 7.0710678118654755, 54.08326913195984, 20.0, 42.720018726587654, 31.622776601683793]","[(294, 69, 54, 264), (732, 217, 127, 116), (627, 383, 240, 161), (882, 279, 253, 312), (369, 310, 143, 176), (380, 485, 160, 155), (532, 550, 308, 121)]"
APR2018_TG050418180735-051,"[2.9800413, 19.321619, 35.91575, 130.27405, 26.590292, 10.771847, 62.66939]","[44.721359549995796, 43.01162633521314, 69.46221994724903, 50.24937810560445, 11.180339887498949, 35.35533905932738, 28.284271247461902]","[(284, 139, 54, 254), (722, 257, 97, 96), (577, 433, 270, 181), (902, 239, 507, 312), (399, 300, 143, 166), (400, 525, 160, 165), (482, 520, 308, 121)]"
AGO2018_TS290818110531-119,"[17.408497, 7.9844303, 54.563454, 175.02156, 13.896122, 11.219045, 41.19608]","[58.309518948453004, 105.11898020814318, 36.05551275463989, 50.24937810560445, 43.01162633521314, 30.0, 64.03124237432849]","[(354, 169, 54, 254), (652, 257, 97, 116), (587, 403, 230, 151), (862, 279, 218, 302), (349, 330, 133, 166), (360, 495, 150, 155), (462, 490, 308, 121)]"
APR2018_TV180418230346-058,"[10.699655, 11.897082, 138.12282, 67.00844, 10.947732, 9.283601, 21.735806]","[78.10249675906654, 11.180339887498949, 42.720018726587654, 22.360679774997898, 58.309518948453004, 56.568542494923804, 33.54101966249684]","[(264, 169, 54, 254), (762, 297, 107, 96), (667, 373, 250, 161), (862, 209, 163, 302), (349, 290, 163, 196), (400, 565, 150, 155), (492, 570, 318, 121)]"
AGO2018_UO310818020655-110,"[2.7309353, 14.122066, 175.089, 23.36835, 32.09282, 9.940667, 24.841293]","[30.4138126514911, 29.154759474226502, 55.90169943749474, 44.721359549995796, 21.213203435596427, 44.721359549995796, 53.85164807134504]","[(304, 129, 74, 264), (732, 267, 97, 96), (567, 363, 230, 161), (892, 249, 206, 302), (369, 290, 133, 166), (340, 485, 150, 155), (552, 520, 308, 121)]"
APR2018_CG100418080836-054,"[2.520721, 10.3603735, 6.496779, 117.03657, 12.56078, 10.118165, 18.13779]","[43.01162633521314, 15.811388300841896, 10.0, 31.622776601683793, 5.0, 40.0, 20.615528128088304]","[(304, 159, 64, 264), (732, 287, 97, 96), (627, 383, 230, 151), (862, 259, 257, 302), (389, 300, 143, 166), (360, 485, 150, 155), (512, 560, 318, 121)]"
APR2018_ZA100418080943-055,"[20.059078, 11.022248, 48.006947, 149.57707, 35.463024, 11.604887, 17.106697]","[29.154759474226502, 60.0, 18.027756377319946, 49.24428900898052, 49.49747468305833, 64.03124237432849, 41.23105625617661]","[(344, 99, 64, 264), (742, 227, 87, 86), (607, 393, 240, 151), (902, 209, 206, 302), (349, 340, 133, 166), (400, 475, 150, 155), (542, 530, 308, 121)]"
APR2017_LL060417250142-171,"[2.1051173, 6.2193904, 7.1958547, 8.88373, 35.827988, 11.512482, 16.19081]","[30.4138126514911, 30.4138126514911, 11.180339887498949, 28.284271247461902, 50.0, 56.568542494923804, 41.23105625617661]","[(304, 129, 74, 284), (712, 297, 87, 96), (607, 393, 230, 161), (882, 249, 216, 302), (379, 250, 123, 156), (400, 565, 150, 155), (512, 580, 308, 121)]"
DIC2017_PG201217021229-250,"[3.9926462, 10.362071, 169.36067, 14.354897, 11.814639, 9.98523, 16.91582]","[65.0, 18.027756377319946, 31.622776601683793, 38.07886552931954, 18.027756377319946, 31.622776601683793, 50.99019513592785]","[(284, 169, 94, 304), (752, 277, 87, 96), (607, 353, 230, 151), (872, 199, 243, 312), (379, 290, 143, 166), (400, 545, 170, 175), (552, 550, 308, 121)]"
APR2017_TG060417180735-173,"[5.6799855, 7.226613, 59.11347, 10.31127, 16.516298, 10.683154, 22.413437]","[22.360679774997898, 30.4138126514911, 50.99019513592785, 7.0710678118654755, 25.0, 55.90169943749474, 10.0]","[(314, 99, 54, 254), (752, 317, 97, 86), (567, 393, 230, 151), (862, 229, 159, 312), (369, 320, 143, 166), (390, 575, 160, 155), (502, 550, 308, 121)]"
